Location;Date;Flpl_NFP;Age;Water height;Plant repeat;Dead;Species;Nb leaves;Presence_Roots;Nb stems;Av length stems;Std length;Av nb nods/stem;Av length internods;Std length internods;;
F228-0;111124;Fldpln;;0;1;A;L;31;N;5;19,4;10,5;2,0;7,4;2,6;;
F228-0;111124;Fldpln;;0;2;A;L;43;N;13;5,3;2,2;0,1;4,8;0,9;;
F228-0;111124;Fldpln;;0;3;A;L;73;I;19;10,2;5,1;1,4;4,8;1,8;;
F261-0;111124;Fldpln;;0;1;A;L;69;N;17;6,2;4,2;0,6;3,9;1,1;;
F261-0;111124;Fldpln;;0;2;A;L;125;N;26;12,3;10,3;1,8;4,9;1,6;;
F261-0;111124;Fldpln;;0;3;A;L;184;N;37;8,1;8,2;1,1;3,9;2,3;;
F261-0;111124;Fldpln;;0;4;A;L;68;N;20;3,3;4,1;0,3;2,4;1,3;;
F261-0;111124;Fldpln;;0;5;A;L;92;N;20;6,7;9,2;0,6;3,3;1,7;;
F261-0;111124;Fldpln;;0;6;A;L;168;N;37;11,6;16,5;1,5;3,9;1,4;;
F300-20;111124;Fldpln;;20;1;A;L;25;I;8;17,8;8,5;3,4;5,6;3,4;;
F300-20;111124;Fldpln;;20;2;A;L;20;II;4;43,0;26,2;5,8;6,1;2,7;;
F300-20;111124;Fldpln;;20;3;A;L;14;I;4;34,5;7,2;5,8;5,4;1,2;;
F261-20;111124;Fldpln;;20;1;A;L;32;I;10;23,6;11,2;4,1;5,9;4,8;;
F261-20;111124;Fldpln;;20;2;A;L;20;I;6;30,5;16,8;5,3;4,8;1,2;;
F261-20;111124;Fldpln;;20;3;A;L;22;I;6;30,7;9,6;5,3;5,4;1,7;;
F261-20;111124;Fldpln;;20;4;A;L;27;I;10;20,4;13,2;4,9;5,6;3,7;;
F261-20;111124;Fldpln;;20;5;A;L;22;N;10;16,2;11,6;3,3;3,8;1,4;;
F261-20;111124;Fldpln;;20;6;A;L;45;I;19;16,1;5,0;3,1;4,9;2,3;;
F261-50;111124;Fldpln;;50;1;A;L;41;I;10;45,7;13,3;7,0;5,7;1,2;;
F261-50;111124;Fldpln;;50;2;A;L;21;I;7;49,6;21,0;6,7;7,2;1,8;;
F261-50;111124;Fldpln;;50;3;A;L;16;I;6;37,8;17,8;5,3;6,6;2,4;;
F261-50;111124;Fldpln;;50;4;A;L;12;I;5;42,0;17,6;10,6;3,5;1,0;;
F261-50;111124;Fldpln;;50;5;A;L;20;I;5;33,4;19,4;6,6;4,6;3,2;;
F261-50;111124;Fldpln;;50;6;A;L;27;I;9;49,6;18,6;9,0;4,9;1,0;;
F247-50;111124;Fldpln;;50;1;A;L;31;I;6;79,5;56,9;10,0;7,0;1,3;;
F247-50;111124;Fldpln;;50;2;A;L;34;I;11;69,7;17,7;12,3;5,3;0,7;;
