ID (plot);ID (sub-block);Location;Cylinder number;Plant number;Type;Water height (theoretical);Water height (true);Inst_Water_height;Max_water_height;Speed;Flooded days;Control;ID (repetition);ID (date);"ID
 (unique ID number)";ID NMK;Dry weight (g);"Date sent 
to Nbo";Date drying;"Weight before
drying chamber (g)";"Weight after 
drying chamber (g)";"Weight paper
 bag (g)";Weight plastic bag (g);Drying duration;Comments;Dry_Matter;
;NFP-1-0-leaves;Nfp;NFP-0;1;leaves;0;0;0;0;0;0;NF0;;111120;916;1966;;111128;111202;7,42;7,05;7,3;;48HRS;No plastic bag;0,37;
;NFP-1-0-dm;Nfp;NFP-0;1;dry_matter;0;0;0;0;0;0;NF0;;111120;917;1967;;111128;111202;7,47;7,13;7,3;;48HRS;No plastic bag;0,34;
;NFP-1-0-stems;Nfp;NFP-0;1;stems;0;0;0;0;0;0;NF0;;111120;918;1968;;111128;111202;8,16;7,77;7,3;;48HRS;No plastic bag;0,39;
;NFP-1-0-roots;Nfp;NFP-0;1;roots;0;0;0;0;0;0;NF0;;111120;919;1969;;111128;111202;7,72;7,37;7,3;;48HRS;No plastic bag;0,35;
;NFP-2-0-leaves;Nfp;NFP-0;2;leaves;0;0;0;0;0;0;NF0;;111120;920;1970;;111128;111202;7,66;7,31;7,3;;48HRS;No plastic bag;0,35;
;NFP-2-0-dm;Nfp;NFP-0;2;dry_matter;0;0;0;0;0;0;NF0;;111120;921;1971;;111128;111202;7,6;7,21;7,3;;48HRS;No plastic bag;0,39;
;NFP-2-0-stem;Nfp;NFP-0;2;stems;0;0;0;0;0;0;NF0;;111120;922;1972;;111128;111202;9,52;8,95;7,3;;48HRS;No plastic bag;0,57;
;NFP-2-0-roots;Nfp;NFP-0;2;roots;0;0;0;0;0;0;NF0;;111120;923;1973;;111128;111202;7,57;7,19;7,3;;48HRS;No plastic bag;0,38;
;NFP-3-0-leaves;Nfp;NFP-0;3;leaves;0;0;0;0;0;0;NF0;;111120;924;1974;;111128;111202;7,71;7,31;7,3;;48HRS;No plastic bag;0,40;
;NFP-3-0-dm;Nfp;NFP-0;3;dry_matter;0;0;0;0;0;0;NF0;;111120;925;1975;;111128;111202;7,89;7,56;7,3;;48HRS;No plastic bag;0,33;
;NFP-3-0-stem;Nfp;NFP-0;3;stems;0;0;0;0;0;0;NF0;;111120;926;1976;;111128;111202;13,28;12,13;7,3;;48HRS;No plastic bag;1,15;
;NFP-3-0-roots;Nfp;NFP-0;3;roots;0;0;0;0;0;0;NF0;;111120;927;1977;;111128;111202;8,52;8,11;7,3;;48HRS;No plastic bag;0,41;
;NFP-11-1 Leaves;Nfp;11;1;leaves;20;15;20;20;3;7;N;;111129;1073;2122;;111128;111202;8,32;7,28;7,2;;48HRS;;1,04;
;D.M;Nfp;11;1;dry_matter;20;15;20;20;3;7;N;;111129;1074;2123;;111128;111202;12,36;10,71;7,3;;48HRS;;1,65;
;Stems;Nfp;11;1;stems;20;15;20;20;3;7;N;;111129;1075;2124;;111128;111202;18,62;14,64;7,2;;48HRS;;3,98;
;roots;Nfp;11;1;roots;20;15;20;20;3;7;N;;111129;1076;2125;;111128;111202;10,23;8,81;7,2;;48HRS;;1,42;
;NFP-11-2 Leaves;Nfp;11;2;leaves;20;15;20;20;3;7;N;;111129;1077;2126;;111128;111202;8,63;7,22;7,3;;48HRS;;1,41;
;D.M;Nfp;11;2;dry_matter;20;15;20;20;3;7;N;;111129;1078;2127;;111128;111202;8,78;7,59;7,3;;48HRS;;1,19;
;Stems;Nfp;11;2;stems;20;15;20;20;3;7;N;;111129;1079;2128;;111128;111202;13,26;11,19;7,3;;48HRS;;2,07;
